from_pretrained,model_cfg,model_cls,model_type,lr,batch_size,lr_scheduler,max_n_segments,num_mem_tokens,model_path,num_steps,best_valid_exact_match,exact_match,k2,freeze_model_weights
gpt2,,modeling_rmt.block_resrmt:GPT2ModelWithBlockWiseMemory,decoder,1e-05,1,linear,6,16,/data/home/admin/rmt/runs/qa1_single-supporting-fact/gpt2/bwrmt/linear_adamw_wd1e-03_6x512_mem16_resmem0_bs6_bptt--1_from_cpt_0-6_teacher-forcing/run_no_aggr,700,1.0,1.0,-1,False
gpt2,,modeling_rmt.block_resrmt:GPT2ModelWithBlockWiseMemory,decoder,1e-05,1,linear,6,2,/data/home/admin/rmt/runs/qa1_single-supporting-fact/gpt2/bwrmt/linear_adamw_wd1e-03_6x512_mem2_resmem-1_bs6_bptt--1_from_cpt_0-6_teacher-forcing/run_mem_test,1000,1.0,1.0,-1,False
gpt2,,modeling_rmt.block_resrmt:GPT2ModelWithBlockWiseMemory,decoder,1e-05,1,linear,6,4,/data/home/admin/rmt/runs/qa1_single-supporting-fact/gpt2/bwrmt/linear_adamw_wd1e-03_6x512_mem4_resmem0_bs6_bptt--1_from_cpt_0-6_teacher-forcing/run_mem_test,1000,1.0,1.0,-1,False
gpt2,,modeling_rmt.block_resrmt:GPT2ModelWithBlockWiseMemory,decoder,1e-05,1,linear,6,1,/data/home/admin/rmt/runs/qa1_single-supporting-fact/gpt2/bwrmt/linear_adamw_wd1e-03_6x512_mem1_resmem0_bs6_bptt--1_from_cpt_0-6_teacher-forcing/run_mem_test,1400,1.0,1.0,-1,False
gpt2,,modeling_rmt.block_resrmt:GPT2ModelWithBlockWiseMemory,decoder,1e-05,1,linear,6,4,/data/home/admin/rmt/runs/qa1_single-supporting-fact/gpt2/bwrmt/linear_adamw_wd1e-03_6x512_mem4_resmem-1_bs6_bptt--1_from_cpt_0-6_teacher-forcing/run_mem_test,1000,1.0,1.0,-1,False
gpt2,,modeling_rmt.block_resrmt:GPT2ModelWithBlockWiseMemory,decoder,1e-05,1,linear,6,1,/data/home/admin/rmt/runs/qa1_single-supporting-fact/gpt2/bwrmt/linear_adamw_wd1e-03_6x512_mem1_resmem-1_bs6_bptt--1_from_cpt_0-6_teacher-forcing/run_mem_test,900,1.0,1.0,-1,False
gpt2,,modeling_rmt.block_resrmt:GPT2ModelWithBlockWiseMemory,decoder,1e-05,1,linear,6,16,/data/home/admin/rmt/runs/qa1_single-supporting-fact/gpt2/bwrmt/linear_adamw_wd1e-03_6x512_mem16_resmem-1_bs6_bptt--1_from_cpt_0-6_teacher-forcing/run_test2,1200,1.0,1.0,-1,False
gpt2,,modeling_rmt.block_resrmt:GPT2ModelWithBlockWiseMemory,decoder,1e-05,1,linear,6,2,/data/home/admin/rmt/runs/qa1_single-supporting-fact/gpt2/bwrmt/linear_adamw_wd1e-03_6x512_mem2_resmem0_bs6_bptt--1_from_cpt_0-6_teacher-forcing/run_mem_test,900,1.0,1.0,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,1e-05,2,linear,3,16,/data/home/admin/rmt/runs/qa1_single-supporting-fact/gpt2/resrmt/linear_adamw_wd1e-03_3x512_mem16_resmem0_bs6_bptt--1_from_cpt_0-3_teacher-forcing/run_bf16_tmux,225,0.0,,-1,False
gpt2,,transformers:AutoModelForCausalLM,decoder,1e-05,2,linear,3,16,/data/home/admin/rmt/runs/qa1_single-supporting-fact/gpt2/resrmt/linear_adamw_wd1e-03_3x512_mem16_resmem0_bs6_bptt--1_from_cpt_0-3_teacher-forcing/run_bf16_tmux,18200,0.8408408164978027,,-1,False
